Date,Customer_id,customer_name,region,country,salesperson,quantity_sold,total_price,discount_applied,order_date,order_status
2023-11-19,e9ebae84-a92d-464b-8327-5bd53db8f25f,"Robin Ramos",Asia,Grenada,"Tara Burke",3,156.36,19.91,2022-03-16,Completed
2024-09-01,787241c8-9166-40c9-afeb-14df8e014d72,"Tanya Brown",Australia,Turkmenistan,"Mary Gonzalez",4,1943.88,27.1,2022-09-05,Completed
2023-05-30,5ccf0247-f99e-4ccd-b0cf-05f2dad6136c,"Olivia Henderson",Europe,Hungary,"Charles Montoya",9,356.94,49.12,2022-05-22,Completed
2022-03-10,0e7aea33-9172-4574-b20f-ce0358368aac,"Gabrielle Gross",Australia,Israel,"Katherine Stephens",1,440.62,40.96,2023-06-28,Refunded
2024-09-13,4292e08a-21c5-4d1c-b53d-d7a47c8781a3,"Kenneth Smith",Australia,"Isle of Man","John Roberts",8,2042.64,36.03,2023-06-07,Refunded
2023-07-29,aad9133a-153c-41f0-8526-12f23143c5ec,"Sara Adams","North America",Macedonia,"Angela Bond",1,245,19.09,2023-02-19,Canceled
2022-06-07,088cbc7e-6551-444d-a4d7-86d83eedd399,"Wendy Fields","North America",Greece,"Sharon Brown",7,1729.91,39.53,2024-07-06,Canceled
2024-10-09,7b4b1436-267e-4863-82c5-016f7852ef4b,"Gregory Romero",Asia,Peru,"Eric Key",8,2962.8,27.22,2023-06-09,Refunded
2023-12-17,926843fa-1d36-4ea3-900a-a2cb8ac40e64,"Joe Elliott","North America","American Samoa","Paula Harrison",3,907.32,17.27,2023-12-05,Canceled
2024-03-02,bc8e682e-fce5-4101-acf2-3924eb4ac6ca,"Matthew Brown",Europe,"Hong Kong","Anna Davis",1,182.55,46.59,2023-07-13,Refunded
2022-07-25,ea9d3ac7-0cfb-478c-b534-a48a46ebe9c6,"Kelly Conley",Africa,Armenia,"Ashley Harris",10,539.6,36.88,2022-10-14,Canceled
2023-02-02,006d8af3-8ca3-47fd-b94b-987fa5254a89,"Patrick Delacruz","North America",Greenland,"Susan Lamb",9,624.24,0,2024-09-27,Pending
2024-08-29,4e1332f6-18b6-4ad9-bac6-cbe2d7181fc3,"Melanie Flores","North America",Lithuania,"Alicia Burnett",3,983.55,6.74,2024-08-10,Pending
2024-07-26,4e1332f6-18b6-4ad9-bac6-cbe2d7181fc3,"Melanie Flores","North America",Lithuania,"Sean Carson",3,619.26,26.41,2024-08-10,Refunded
2022-06-24,4e1332f6-18b6-4ad9-bac6-cbe2d7181fc3,"Melanie Flores","North America",Lithuania,"Jacob Nichols",9,2665.53,17.14,2024-08-10,Canceled
2022-03-21,e665666e-2109-484b-b98b-9c1acc374a68,"Roy Nguyen",Africa,"Saint Vincent and the Grenadines","Rebekah Morrison",3,1316.94,43.9,2023-10-02,Canceled
2023-01-19,71cccab4-ebc3-4443-9312-98f7df844eca,"Leslie Thomas",Asia,Tonga,"Lindsey Thompson",7,1910.16,40.2,2023-06-16,Pending
2022-10-07,37dce587-a935-42db-a316-f4ec71570f60,"Kimberly Martin",Europe,"Burkina Faso","Vicki Stone",8,3694.48,23.94,2025-02-04,Canceled
2024-12-10,2e747615-90b8-48b4-943a-11201e5d239f,"William Bullock","North America",Argentina,"Timothy Haynes",9,3666.42,14.38,2022-03-06,Completed
2023-10-16,8fb522fb-d4a4-4457-9101-4c511bc2f91b,"Joshua Smith",Africa,"Brunei Darussalam","Sandra Brown",7,2730.91,16.39,2022-06-26,Pending
2025-01-28,b8a2e4c8-67fd-437e-b2e8-58058b801101,"Brian Conner",Asia,Greece,"Julia Aguilar",5,677.35,49.79,2023-07-14,Refunded
2024-05-17,b34f33be-38f1-4160-b20a-167194c24885,"Jason Cowan","North America",Afghanistan,"Troy Anderson",8,726,43.33,2023-08-09,Pending
2022-09-18,0391e270-490d-42c7-89e0-cb1b4ebbcd51,"James Fry","South America",Japan,"Rebecca Hall",7,3324.65,14.85,2022-04-02,Completed
2022-04-25,269bb049-c12c-487c-9fea-ef1bcf075bd8,"Brian Johnson",Australia,Nicaragua,"Carolyn Sanchez",3,751.98,36.12,2024-04-06,Refunded
2022-06-15,ffd5ab6e-ae83-40c7-80fc-f9e8c21dc918,"Matthew Johnson",Africa,Tokelau,"Michelle Wagner",10,2226.1,18.08,2024-01-30,Refunded
2023-11-07,5ac6fb28-5c8d-4f72-ae16-ad6bfbf3ca67,"Cody Jones","North America",Swaziland,"Christy Sullivan",1,469.86,0,2023-09-17,Refunded
2023-12-19,dd117df2-4e53-493b-89ef-cbb87d6d5c29,"Maria Williamson",Asia,"Dominican Republic","Nancy Wilson",7,1490.37,11.74,2024-09-16,Refunded
2024-07-31,2284874e-323b-4678-aa7e-18dc9d1579b4,"Brandon Best","North America",Egypt,"Rachel Campbell",6,2361.42,9.52,2024-06-24,Refunded
2024-12-01,87a0438e-bc7d-4e14-a2b8-893a942c3200,"Anthony Stanley","South America",Maldives,"James Curtis",6,2840.82,34.82,2024-01-20,Completed
2022-12-22,3f5da753-01fe-40e5-afbe-a653fb4f2bf2,"Erik Castillo",Africa,Panama,"Barbara Smith",2,716.42,47.51,2023-11-01,Canceled
2023-04-03,ab6e77e9-e9a4-4f22-941a-223f162cc3b3,"Ronald Bradley","North America",Brazil,"William Stout",4,1072.68,26.25,2023-09-11,Refunded
2025-02-09,86a76258-68c2-43a9-a1d0-af5645878130,"Ronald Novak","North America",Benin,"Christopher Jacobs",3,1095.87,33.14,2023-04-02,Completed
2024-06-06,96d51efc-2d38-43c8-a3af-088df9431fa0,"Lee Mckenzie",Australia,Morocco,"John Mitchell",1,155.77,11.17,2024-02-03,Canceled
2022-03-06,6bce26e5-b801-403b-a6ad-8ebd159135fa,"Tonya Hancock",Africa,"Saint Barthelemy","Ricky Moore",1,382.46,39.99,2023-03-08,Completed
2023-05-30,6bce26e5-b801-403b-a6ad-8ebd159135fa,"Tonya Hancock",Africa,"Saint Barthelemy","Jessica Torres",10,4278.5,33.35,2023-03-08,Pending
2022-04-06,6bce26e5-b801-403b-a6ad-8ebd159135fa,"Tonya Hancock",Africa,"Saint Barthelemy","Paula Perkins",3,768,19.89,2023-03-08,Refunded
2024-03-19,a660c3a5-9ac8-4f41-9336-e426407b500a,"Jennifer Taylor",Europe,Somalia,"Rebecca Tucker",5,2102.75,10.49,2022-07-18,Refunded
2022-11-15,7a487be3-d823-4c05-817c-7a4ffeb95d1d,"Jason Lopez",Africa,Zimbabwe,"Joan Deleon",9,146.25,30.31,2024-02-25,Canceled
2022-03-22,722a1512-d0b6-4e9b-95de-ee9d07560227,"Casey Smith","North America",Djibouti,"William Hull",9,4407.03,42.97,2022-03-27,Refunded
2023-05-23,8b8d612f-a75c-4fe1-9060-66caf4b185e0,"Billy Aguilar",Africa,"Falkland Islands (Malvinas)","Destiny Rice",5,2041.65,6.1,2024-05-24,Canceled
2023-06-03,dbd22472-3284-4bab-af9d-cd636b4b0977,"Gary Willis",Europe,"French Polynesia","Dr. Jerry Barker",1,343.29,14.3,2024-02-08,Completed
2024-05-15,6df56e1d-7b7f-4994-8a19-a671a9542e64,"Karen Trevino",Africa,"Antigua and Barbuda","Angelica Lewis",2,120.98,14.86,2023-10-21,Completed
2025-02-12,da1ae723-a1cb-45ef-87d8-4c4659193b83,"Nicole Holloway",Australia,"Saint Barthelemy","Timothy Vasquez",1,262.18,37.35,2024-11-14,Completed
2024-10-02,1c9488c1-6b70-4cca-b0c1-2e13627601e6,"Anna Pittman",Asia,"British Virgin Islands","Samantha Cherry",7,1783.6,0,2024-10-12,Completed
2023-11-26,fc600031-8a4f-4656-9f0f-2112121cebe7,"Matthew Key",Asia,Nepal,"Laura Rosales",1,377.58,27.4,2022-03-23,Refunded
2023-04-29,5faac026-15aa-488e-be89-9c276386ff13,"Rachel Olson",Asia,"Isle of Man","Ronald Allen",7,2758.7,44.17,2024-01-03,Refunded
2023-09-29,4b0f862a-d3fb-4e6d-9a33-8311659e4880,"David Shea","North America",Romania,"Amanda Molina",5,202.35,2.04,2024-08-21,Pending
2022-10-09,76b3ad41-2896-4dd2-943e-491bc4526b33,"Pamela Sanders",Europe,"Palestinian Territory","Stephen Douglas",3,801.21,15.83,2022-11-08,Completed
2022-12-13,76b3ad41-2896-4dd2-943e-491bc4526b33,"Pamela Sanders",Europe,"Palestinian Territory","Kayla Boyd",1,474.45,9.48,2022-11-08,Completed
2024-07-21,76b3ad41-2896-4dd2-943e-491bc4526b33,"Pamela Sanders",Europe,"Palestinian Territory","Stacy Hubbard",1,101.45,39.71,2022-11-08,Pending
2023-12-28,0ce8d2d2-fecf-46bb-8ab1-364e3cd782ad,"Jessica Harper","North America",Tokelau,"Wendy Mcdonald",3,427.47,3.06,2024-07-28,Pending
2022-10-03,24390f60-c15b-4381-ab64-bfff7f5e7fc1,"Sarah Cochran",Africa,"Palestinian Territory","Samuel Brown",6,2815.74,25.96,2025-01-01,Pending
2022-07-12,4a4120ad-61b9-4d8b-ae53-04267e5d855f,"Rhonda Morris","South America","Lao People's Democratic Republic","Cynthia Giles",10,2634.6,0,2023-12-02,Canceled
2024-10-27,35fbcdc4-4f9a-4988-a39c-15b3b2b1285d,"Lauren Reed",Australia,Netherlands,"Garrett Wright",6,793.2,4.23,2024-05-26,Completed
2022-08-29,0b005a13-4a0d-4163-a946-8bda14305f88,"Kyle Sharp",Australia,Nepal,"Julia Marquez",2,897.14,0.8,2023-06-21,Canceled
2023-01-30,fcea09d8-ba95-45b0-a07e-b3d0074c77e7,"Ethan Dillon","South America",Finland,"Andre Anderson",9,3328.74,0.32,2022-12-22,Canceled
2024-07-20,0ae61c43-fee8-4936-b63e-492a6f456b1f,"Taylor Osborne","North America",Nauru,"Joshua Mitchell",1,100.41,22.6,2023-01-18,Pending
2024-04-20,a5307db5-e141-4364-8e92-01d636c0f807,"Adam Perry",Asia,"Svalbard & Jan Mayen Islands","Nicole Warner",5,637.1,0,2023-02-01,Refunded
2022-07-13,078c88d9-879f-4617-8a45-f98127a8a33b,"Joann Cook",Europe,"Czech Republic","Shane Rhodes",10,1424.9,0.23,2022-03-01,Pending
2024-08-21,03e44218-cfd9-438d-94d5-56dd7dc12b10,"Dr. Melissa Powell",Europe,Germany,"Kimberly Walsh",6,2243.88,28.29,2024-06-05,Pending
2023-11-19,3efb2b76-02fe-4f59-b261-51693261dc23,"Maria Cabrera",Australia,"Equatorial Guinea","Tracy Barber",8,1958.72,46.17,2022-03-16,Canceled
2024-10-02,cf0cdb17-56d0-458e-a264-74c5b98e11b2,"Susan Ayala","South America",Venezuela,"Catherine Reyes",2,62.98,4.76,2022-03-26,Completed
2022-09-30,085690c8-0482-4ccd-8c9d-68ce411a26a5,"James Kelly",Australia,Jamaica,"Christina Whitney",8,2934.96,24.31,2023-05-19,Refunded
2022-05-28,6038d9f8-4329-4006-a503-b836983f8f0c,"Michele Chaney","North America",Dominica,"Christopher Molina",4,1094.48,35.44,2024-06-08,Refunded
2023-03-15,1a97f995-2dce-4d1b-a3b5-d9de838b1df7,"Trevor Love",Africa,Djibouti,"Sharon Love",9,531.72,36.56,2022-12-19,Canceled
2025-01-20,f19e785c-549b-4063-992c-238047e04257,"Greg Haas","South America",Nepal,"Glenn Davis",10,1927.9,41.61,2024-12-11,Canceled
2023-01-29,f19e785c-549b-4063-992c-238047e04257,"Greg Haas","South America",Nepal,"Ellen Baker",5,1317.3,8.95,2024-12-11,Canceled
2023-02-17,30fa491e-0efd-4e55-9489-ddfadb93df4a,"Amanda Lyons",Africa,Rwanda,"Douglas Benton",2,572.2,28.09,2025-01-24,Refunded
2024-01-04,03f9474c-7e89-4e83-849b-6a30fcfdb3e2,"Evan Sanders",Europe,Gibraltar,"Bonnie Watson",9,781.02,32.57,2025-02-13,Canceled
2024-03-30,03f9474c-7e89-4e83-849b-6a30fcfdb3e2,"Evan Sanders",Europe,Gibraltar,"Margaret Mcgee",10,2573.7,31.71,2025-02-13,Completed
2023-12-22,bf156832-f1b3-4cc2-bedd-97b29f0e4b3a,"Rebecca Collins",Australia,"Dominican Republic","Jose Hill",1,210.57,17.59,2023-08-08,Completed
2023-07-31,4415ea77-8fb2-4180-9741-c8dbda7a5f0a,"Suzanne Garza",Africa,Egypt,"Deborah Johnson",7,3258.64,34.77,2022-08-12,Canceled
2024-04-06,3541ea20-c192-4c61-9d15-88ea9c14af45,"Lisa Cook",Africa,"Cape Verde","Nicholas Walker",3,1396.56,31.69,2024-01-16,Refunded
2023-10-23,e7f6e619-32ab-43a0-96df-89f6313b602f,"Jennifer Torres","North America",Swaziland,"Elizabeth Simpson",6,1549.08,36.96,2024-12-21,Completed
2024-10-10,3f72834d-ed01-4f58-b43d-230c64a41498,"Lori Collins",Asia,"Papua New Guinea","Tammie Stanton",2,778.56,30.16,2022-07-04,Pending
2023-12-09,504f7a29-def1-4a63-9e9a-c98086be23a4,"Joseph Callahan",Africa,"Northern Mariana Islands","Melissa Davis",9,2710.71,13.94,2024-08-28,Completed
2023-10-09,35c5b63e-572a-4677-a511-7869e6991fc1,"Darin Diaz",Australia,Seychelles,"Alexandra Cummings",6,1243.14,22.77,2022-10-11,Refunded
2022-09-06,7e76d70f-00b5-4992-ba00-99f3670c5fa4,"Michael Boone",Africa,"Bosnia and Herzegovina","Heather Barber",6,391.74,36.78,2024-06-24,Completed
2023-09-28,80fa6db8-3664-4dcd-9ab4-da26da8b427c,"Cody Russell",Asia,Togo,"Amy Gilbert",10,1380.1,41.97,2022-05-18,Refunded
2024-06-19,111b3e14-a215-46be-8eb0-157a462c7cdf,"Samantha Blake",Australia,"British Virgin Islands","Phillip Bauer",10,4106.5,37.34,2024-07-28,Completed
2023-02-06,65e74576-a4ec-46d4-9f24-aba3962e8cc7,"Brandon Moody",Europe,Tokelau,"Steven Oconnor",2,224.32,41.24,2024-12-07,Completed
2023-03-23,db7b0793-1e33-48f4-a9fc-37d287dc779e,"Morgan Burns","South America",Egypt,"Scott Rice",3,818.64,19.16,2024-12-02,Completed
2022-07-31,4b537211-d65d-4ee4-962e-6766d104ee22,"Thomas Peters",Asia,Iceland,"Bryan Jarvis",4,1181.08,35.93,2024-07-21,Pending
2024-04-17,37783b88-a24a-4dea-b671-7713085fa10d,"Jason Harris","South America",Bahrain,"Lisa Mayer DDS",6,2346.6,7.39,2024-06-23,Pending
2022-04-13,60187d19-32a0-4c25-a2d9-81fc468e5ef9,"John Smith",Europe,Palau,"Meredith Smith",10,4395.3,3.69,2022-10-03,Pending
2023-06-04,7054a278-abb0-4622-b199-cac236b1cee2,"Natalie Walters",Asia,"Syrian Arab Republic","Robert Lopez",5,2083.45,45.98,2024-11-01,Pending
2023-02-22,7490e204-104b-4865-a0d1-5eda5fdddf09,"Mr. Drew Davis",Europe,Anguilla,"Matthew Taylor DDS",5,1225.75,43.94,2024-05-27,Pending
2023-02-25,c67132fc-a4d6-4dab-9ec6-7ef3431c42f9,"Emily Gross",Africa,Malaysia,"Samantha Walters",8,2733.6,41.86,2024-05-27,Refunded
2024-11-06,0038280e-e4d4-42b1-b119-55b1be2878ab,"Kathleen Alvarado",Australia,Romania,"Anthony Harris",3,1423.35,0,2023-03-11,Completed
2023-07-27,1896294f-546e-4f84-8053-b241af955314,"Shawn Brown",Africa,Niger,"Peter Larsen",5,357.1,27.09,2023-11-15,Completed
2022-04-29,39ed54af-3055-4b16-a289-2d5f4966efa7,"Carrie Graham",Europe,Qatar,"Samantha White DVM",9,2622.24,41.04,2025-02-04,Pending
2023-10-23,e7f6e619-32ab-43a0-96df-89f6313b602f,"Jennifer Torres","North America",Swaziland,"Elizabeth Simpson",6,1549.08,36.96,2024-09-21,Completed
2022-07-17,d6a3ec0f-6ac2-4c6c-83cd-852fdc94601b,"William Duncan","South America",Samoa,"Robert Gonzalez",6,2395.62,32.21,2022-11-27,Refunded
2023-01-16,00946bcb-9dfa-42fc-9f7a-edf49a1c8d77,"Dustin Clark","South America",Azerbaijan,"Erica Benitez",8,1407.76,8.28,2025-02-04,Pending
2023-01-19,2748ec4e-5204-41f7-9485-b49c65a0cf73,"Dylan Smith","South America",Vietnam,"Amy Ramirez",9,802.26,21.66,2023-05-01,Refunded
2024-04-07,d1a48d26-c182-46ef-81a7-1148dca471e3,"Willie Ferguson",Europe,Jordan,"Kristina Yang",7,2618.21,27.08,2022-12-07,Completed
2022-09-18,a58b37f7-7742-4853-a4a5-8e49c750a8d7,"Jennifer Johnson",Europe,Gabon,"Walter Cline",7,850.36,15.77,2023-06-30,Canceled
2024-09-07,de701e66-c655-48f4-bb1a-9a3848ea2453,"Brian Moore",Asia,"United States Virgin Islands","Jason Sullivan",8,3056.8,23.44,2023-05-17,Pending
2022-09-15,cb388816-2b9c-4626-9e8e-12e5d673aaa1,"Sarah Newton",Asia,Niue,"Craig Nelson",1,162.18,20.71,2023-07-04,Completed
2024-06-09,ab07810b-d961-4474-8f6d-24bb45cccdf9,"Jay Martin",Australia,Somalia,"Amber Cooper",1,12.25,42.9,2024-03-08,Canceled
2022-07-28,54c28a73-cf67-41fa-b919-f3140de30e7b,"Colleen Bailey",Australia,Qatar,"Todd Ford",4,822.92,13.62,2025-02-21,Refunded
2022-08-23,83ddabd4-71d0-43be-b766-ec77113e3144,"Kimberly Ryan",Europe,Greece,"Bruce Nelson",4,38.64,6.38,2025-01-21,Completed
2024-09-22,4f229cf5-8fc4-413a-b43a-f6ae2441e2b6,"John Cooper",Europe,Bahrain,"Haley Knight",5,1538.25,10.58,2024-04-21,Refunded
2024-05-08,42826e80-0882-447b-88d6-3ebb0ee03b2a,"Donald Rhodes",Africa,Maldives,"Mrs. Megan Moses DVM",9,1789.92,9.98,2023-09-23,Pending
2025-02-12,da1ae723-a1cb-45ef-87d8-4c4659193b83,"Nicole Holloway",Australia,"Saint Barthelemy","Timothy Vasquez",1,262.18,37.35,2022-06-12,Completed
2022-11-16,338acfdf-8784-4017-bc58-7b738bfd87e2,"Marvin Jackson","South America",Jamaica,"Sharon Garcia",4,1970.16,20.4,2023-07-12,Refunded
2024-03-05,b6208d36-f3a8-4e97-8af1-d4913d75a9d3,"Ashley Roberts",Asia,Kiribati,"Melissa Hernandez",4,1217.64,34.72,2024-06-15,Refunded
2022-05-17,e91beb5a-1fb5-4384-855d-b078dbffa18f,"Allison Montgomery",Africa,Martinique,"Carol Deleon",2,60.76,2.24,2023-07-09,Completed
2022-07-14,b837961a-09c2-40f3-af5e-84914d6ccede,"Vanessa Lynch","North America",Poland,"Jeff Cisneros",5,2120.15,38.69,2025-02-13,Completed
2022-05-05,85eddb77-8b41-4970-9c27-5795f7a37346,"Gregory Mcdonald",Europe,Botswana,"Margaret Newman",3,1419.78,40.62,2023-09-03,Pending
2022-11-22,38d57f18-00d5-44b8-82b0-9ab3b23e0443,"Christopher Alvarez",Africa,"French Polynesia","Gregory Stein",2,182.84,16.54,2024-05-16,Canceled
2024-11-07,8c64e4b7-da92-48e9-b10c-5ec58b994523,"Richard Lester",Africa,Monaco,"Mark Spencer",8,2065.44,42.92,2024-06-16,Pending
2022-11-15,7a487be3-d823-4c05-817c-7a4ffeb95d1d,"Jason Lopez",Africa,Zimbabwe,"Joan Deleon",9,146.25,30.31,2022-06-27,Canceled
2023-01-01,cc002a65-9d2e-450b-a70e-1410b3cd8d29,"Cameron Thomas",Europe,Vanuatu,"James Donovan",2,145.24,38.28,2022-11-25,Refunded
2023-10-05,3fc1c6d6-1165-44ff-8853-0526495da961,"Maurice Jones",Asia,Canada,"Andrew Patterson",8,2242.24,24.78,2022-12-06,Refunded
2023-01-24,d92d062b-11ca-44de-bbe5-b2e1693cc903,"Stacy Woods",Australia,Kiribati,"Teresa Villanueva",1,410.65,11.56,2024-07-11,Canceled
2022-05-05,673b9808-caa5-47bd-9258-0b3917a0bf02,"Shawna Smith","North America",Swaziland,"Nicholas Oconnell",1,267.45,11.09,2023-10-12,Pending
2022-04-29,670e0a14-e826-4485-84d0-cc82c01849d1,"Thomas Potter",Europe,"Sri Lanka","Sarah Ward",6,665.28,22.74,2022-09-11,Refunded
2023-01-31,670e0a14-e826-4485-84d0-cc82c01849d1,"Thomas Potter",Europe,"Sri Lanka","Angela Boone",8,43.44,18.63,2022-09-11,Completed
2024-08-22,4555b650-4b41-41af-9acd-86823f6e441a,"Lisa Long",Africa,Malta,"Sandra Johnson",4,43.2,19.94,2024-07-13,Pending
2022-08-12,2fa0ec71-88a8-4914-86ec-70abf7794e7b,"Robert Gillespie",Australia,Micronesia,"David Henderson",7,1927.94,0.84,2024-06-16,Canceled
